Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Brazil,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,12070.69605,20978.64746,5631.238681
Deaths,Saint Lucia,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,20.10862309,39.36744157,7.171186903
Deaths,Saint Lucia,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,17.58235595,36.63745587,5.715918332
Deaths,Honduras,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,225.6714657,480.3572148,76.4050802
Deaths,Honduras,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,147.9644696,326.322972,49.74711804
Deaths,Nicaragua,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,146.181616,301.954544,50.75088773
Deaths,Nicaragua,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,89.91852683,189.4842458,31.87070149
Deaths,Brazil,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,23829.59721,31271.99198,17005.9927
Deaths,Brazil,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,19745.09214,26103.38439,13982.28581
Deaths,Suriname,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,78.26220744,140.6167948,28.44923819
Deaths,Suriname,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,56.96603473,110.3207563,18.41622979
Deaths,Saint Lucia,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,44.07333607,72.43997298,19.95668586
Deaths,Saint Lucia,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,36.15406232,58.80106963,15.96298272
Deaths,Grenada,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,26.70851073,43.69642412,11.0674948
Deaths,Grenada,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,24.75779529,40.88237865,10.20663572
Deaths,Uruguay,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,403.2840881,633.1872366,198.5981731
Deaths,Uruguay,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,329.9926393,523.6633761,167.4924099
Deaths,Haiti,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,405.2508388,974.8428816,114.2332255
Deaths,Haiti,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,310.7910727,779.9751784,87.06454926
Deaths,Haiti,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,985.5861292,1987.763166,387.3507774
Deaths,Haiti,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,836.4816797,1688.347939,315.329863
Deaths,Belize,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,56.01086098,95.94624118,21.63271704
Deaths,Belize,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,37.09800543,63.17162654,14.25267667
Deaths,Belize,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,15.42598993,32.42933668,3.97090732
Deaths,Belize,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,12.22375722,27.91605295,2.937167536
Deaths,Uruguay,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,538.4466534,1095.789341,165.9447187
Deaths,Uruguay,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,349.4219311,723.1906858,116.9218614
